2020-11-13 12:46:24,528 [pool-6-IoTDB-RPC-Client-thread-16] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-30] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-107 
2020-11-13 12:46:24,528 [pool-6-IoTDB-RPC-Client-thread-86] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-97] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-42 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-75] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-69 
2020-11-13 12:46:24,528 [pool-6-IoTDB-RPC-Client-thread-56] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,528 [pool-6-IoTDB-RPC-Client-thread-11] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,528 [pool-6-IoTDB-RPC-Client-thread-24] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-63] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-28 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-82] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-100 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-73] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-26 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-41] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-34 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-105] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-3 
2020-11-13 12:46:24,530 [pool-6-IoTDB-RPC-Client-thread-73] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
